time,open,high,low,close,volume
2020-02-29 07:38:00,228.27,228.27,228.15,228.15,28.75163775
2020-02-29 07:37:00,228,228.28,228,228.28,70.53527287
2020-02-29 07:36:00,227.91,228,227.84,228,208.87526887
2020-02-29 07:35:00,228.11,228.11,228,228,40.71986544
2020-02-29 07:34:00,228.19,228.19,228.11,228.12,2.45556887
2020-02-29 07:33:00,228.44,228.44,228,228.02,279.55391342
2020-02-29 07:32:00,228.47,228.51,228.45,228.45,3.27193905
2020-02-29 07:31:00,228.49,228.52,228.49,228.51,13.25641199
2020-02-29 07:30:00,228.53,228.53,228.36,228.44,26.5018925
2020-02-29 07:29:00,228.69,228.91,228.53,228.53,12.69636381
2020-02-29 07:28:00,228.78,228.88,228.68,228.68,2.29404425
2020-02-29 07:27:00,228.95,228.95,228.78,228.78,50.59287636
2020-02-29 07:26:00,228.84,228.91,228.76,228.84,20.45029236
2020-02-29 07:25:00,228.75,228.84,228.69,228.84,10.9821541
2020-02-29 07:24:00,229.05,229.05,228.9,228.9,0.09283
2020-02-29 07:23:00,229.25,229.25,229.1,229.1,1.52064514
2020-02-29 07:22:00,229.16,229.31,229.16,229.31,3.04576163
2020-02-29 07:21:00,229.23,229.23,229.1,229.14,12.94462515
2020-02-29 07:20:00,229.32,229.36,229.31,229.31,16.94182398
2020-02-29 07:19:00,229.8,229.8,229.45,229.45,9.45173705
2020-02-29 07:18:00,229.69,229.78,229.62,229.69,40.5064365
2020-02-29 07:17:00,229.85,229.85,229.76,229.76,3.61094832
2020-02-29 07:16:00,229.9,229.99,229.73,229.85,53.30969854
2020-02-29 07:15:00,229.62,229.91,229.62,229.91,104.77023055
2020-02-29 07:14:00,229.54,229.63,229.54,229.63,8.24367952
2020-02-29 07:13:00,229.5,229.56,229.48,229.52,15.1358994
2020-02-29 07:12:00,229.75,229.75,229.61,229.63,1.79014665
2020-02-29 07:11:00,229.8,229.8,229.54,229.76,213.68728153
2020-02-29 07:10:00,229.77,229.81,229.64,229.81,28.30766901
2020-02-29 07:09:00,229.52,229.84,229.52,229.8,25.72728926
2020-02-29 07:08:00,228.98,229.71,228.79,229.58,271.78903385
2020-02-29 07:07:00,229.1,229.25,228.99,228.99,5.58977026
2020-02-29 07:06:00,229,229.12,229,229.12,90.07210333
2020-02-29 07:05:00,229.32,229.32,229.23,229.23,12.24106456
2020-02-29 07:04:00,229.39,229.39,229.32,229.32,10.68320276
2020-02-29 07:03:00,229.43,229.65,229.39,229.52,7.20832414
2020-02-29 07:02:00,229.63,229.77,229.42,229.42,147.52118422
2020-02-29 07:01:00,228.8,229.66,228.8,229.66,177.07738062
2020-02-29 07:00:00,228.64,228.79,228.64,228.79,8.73942647
2020-02-29 06:59:00,228.84,228.84,228.63,228.67,7.36794278
2020-02-29 06:58:00,228.59,228.74,228.52,228.64,16.57982725
2020-02-29 06:57:00,228.79,228.79,228.03,228.47,658.67170648
2020-02-29 06:56:00,228.58,228.93,228.58,228.6,9.4660547
2020-02-29 06:55:00,228.78,228.78,228.3,228.57,567.65215603
2020-02-29 06:54:00,228.76,229.02,228.76,228.99,6.42121778
2020-02-29 06:53:00,229.05,229.33,228.87,228.87,11.83607611
2020-02-29 06:52:00,229.1,229.1,228.91,228.92,5.89339144
2020-02-29 06:51:00,229.13,229.3,229.1,229.11,57.07976127
2020-02-29 06:50:00,229.73,229.88,229.47,229.47,69.4525493
2020-02-29 06:49:00,229.92,229.92,229.55,229.64,12.55135187
2020-02-29 06:48:00,229.9,229.92,229.48,229.87,884.98675989
2020-02-29 06:47:00,230.47,230.47,229.77,229.83,717.40371423
2020-02-29 06:46:00,230.38,230.52,230.38,230.48,2.21551993
2020-02-29 06:45:00,230.12,230.44,230.12,230.24,287.13620599
2020-02-29 06:44:00,230.22,230.23,230.22,230.22,3.93259083
2020-02-29 06:43:00,229.87,230.24,229.87,229.92,28.87641521
2020-02-29 06:42:00,230.06,230.15,229.81,230.07,268.36584246
2020-02-29 06:41:00,230.31,230.31,230.12,230.19,7.64271949
2020-02-29 06:40:00,229.81,230.54,229.81,230.31,258.69725836
2020-02-29 06:39:00,229.93,229.93,229.8,229.8,12.01490083
2020-02-29 06:38:00,230.2,230.2,230.12,230.12,12.11626982
2020-02-29 06:37:00,229.85,229.88,229.85,229.88,89.39943702
2020-02-29 06:36:00,229.62,229.86,229.62,229.86,7.50755004
2020-02-29 06:35:00,229.59,229.76,229.59,229.69,51.68474992
2020-02-29 06:34:00,229.87,229.87,229.79,229.79,82.0997
2020-02-29 06:33:00,229.73,229.82,229.73,229.79,4.21801682
2020-02-29 06:32:00,229.55,229.77,229.5,229.77,11.31572414
2020-02-29 06:31:00,229.32,229.58,229.24,229.58,6.74391395
2020-02-29 06:30:00,229.51,229.52,229.32,229.32,78.6947682
2020-02-29 06:29:00,229.61,229.62,229.51,229.51,13.91261946
2020-02-29 06:28:00,229.64,229.88,229.64,229.83,20.49090921
2020-02-29 06:27:00,229.72,229.81,229.61,229.73,98.93565467
2020-02-29 06:26:00,230.08,230.08,229.71,229.71,115.85210555
2020-02-29 06:25:00,229.89,229.89,229.5,229.83,91.79089652
2020-02-29 06:24:00,230.17,230.17,229.79,229.87,88.74119766
2020-02-29 06:23:00,230.28,230.33,229.86,230.24,39.46185737
2020-02-29 06:22:00,230.31,230.45,230.31,230.42,7.74070499
2020-02-29 06:21:00,230.48,230.52,230.48,230.52,2.65610274
2020-02-29 06:20:00,230.81,230.81,230.26,230.66,790.5421337
2020-02-29 06:19:00,230.94,230.95,230.82,230.82,2.35338686
2020-02-29 06:18:00,230.88,230.91,230.8,230.87,170.07247263
2020-02-29 06:17:00,231.01,231.14,230.88,230.88,470.18776659
2020-02-29 06:16:00,231,231.25,231,231.01,127.20931815
2020-02-29 06:15:00,231.24,231.29,231,231,40.3517277
2020-02-29 06:14:00,231.29,231.29,231.24,231.24,7.01855269
2020-02-29 06:13:00,231.4,231.4,231.27,231.31,14.40024565
2020-02-29 06:12:00,231.69,231.69,231.37,231.59,101.11352659
2020-02-29 06:11:00,231.87,231.94,231.75,231.75,8.31717325
2020-02-29 06:10:00,232.05,232.09,231.84,231.89,64.69474406
2020-02-29 06:09:00,232.14,232.33,232.14,232.27,22.24419387
2020-02-29 06:08:00,232.79,232.79,232.14,232.14,2.59376222
2020-02-29 06:07:00,232.99,233,232.82,232.82,4.87007513
2020-02-29 06:06:00,232.83,232.99,232.83,232.95,126.87339744
2020-02-29 06:05:00,232.63,232.83,232.63,232.82,4.35170411
2020-02-29 06:04:00,232.6,232.83,232.6,232.64,64.81216159
2020-02-29 06:03:00,232.45,232.64,232.45,232.64,6.35231018
2020-02-29 06:02:00,232.71,232.76,232.53,232.53,17.62515985
2020-02-29 06:01:00,232.61,232.74,232.41,232.71,18.72716434
2020-02-29 06:00:00,232.35,232.8,232.25,232.57,60.92157145
2020-02-29 05:59:00,232.14,232.14,232.13,232.13,0.98383072
2020-02-29 05:58:00,231.94,232.13,231.94,232.13,15.38832119
2020-02-29 05:57:00,231.68,231.94,231.68,231.94,2.34078834
2020-02-29 05:56:00,231.85,231.85,231.73,231.73,7.34896018
2020-02-29 05:55:00,231.54,231.85,231.54,231.85,15.43306392
2020-02-29 05:54:00,231.72,231.85,231.59,231.6,316.82058686
2020-02-29 05:53:00,231.99,231.99,231.85,231.99,0.1789849
2020-02-29 05:52:00,231.42,231.96,231.39,231.91,118.08216491
2020-02-29 05:51:00,231.43,231.43,231.42,231.43,7.81346404
2020-02-29 05:50:00,231.28,231.44,231.28,231.33,8.41953583
2020-02-29 05:49:00,231.52,231.52,231.4,231.4,1.66521755
2020-02-29 05:48:00,231.53,231.56,231.42,231.42,5.46507639
2020-02-29 05:47:00,231.53,231.53,231.41,231.53,2.55434833
2020-02-29 05:46:00,231.47,231.72,231.35,231.62,62.32110627
2020-02-29 05:45:00,231.32,231.62,231.31,231.62,30.83571435
2020-02-29 05:44:00,231.16,231.32,231.16,231.32,171.93130407
2020-02-29 05:43:00,231.48,231.48,231.19,231.19,51.78692871
2020-02-29 05:42:00,231.26,231.49,231.26,231.49,34.62574936
2020-02-29 05:41:00,231.52,231.62,231.29,231.37,54.22550998
2020-02-29 05:40:00,231.52,231.63,231.52,231.52,48.38333017
2020-02-29 05:39:00,231.5,231.73,231.49,231.5,32.97873792
2020-02-29 05:38:00,231.76,231.76,231.46,231.49,9.44888992
2020-02-29 05:37:00,231.47,231.75,231.46,231.75,101.23264455
2020-02-29 05:36:00,231.89,231.89,231.79,231.79,7.39291274
2020-02-29 05:35:00,231.99,231.99,231.82,231.93,17.39274662
2020-02-29 05:34:00,231.8,232.04,231.8,231.98,4.24076316
2020-02-29 05:33:00,231.87,231.87,231.79,231.79,8.43385867
2020-02-29 05:32:00,231.71,232.07,231.71,231.87,272.44449107
2020-02-29 05:31:00,231.43,231.71,231.43,231.71,8.27512356
2020-02-29 05:30:00,231.57,231.57,231.4,231.42,30.27728904
2020-02-29 05:29:00,231.7,231.7,231.41,231.56,24.30294602
2020-02-29 05:28:00,231.51,231.7,231.32,231.7,75.94892015
2020-02-29 05:27:00,231.8,231.8,231.31,231.45,21.89285929
2020-02-29 05:26:00,231.36,231.72,231.36,231.72,328.45931797
2020-02-29 05:25:00,232.08,232.08,231.4,231.4,254.16714555
2020-02-29 05:24:00,232.56,232.56,232.28,232.28,18.43342621
2020-02-29 05:23:00,232.58,232.74,232.58,232.73,13.42264946
2020-02-29 05:22:00,232.2,232.64,232.19,232.64,102.39267925
2020-02-29 05:21:00,232.47,232.51,232.47,232.5,62.39185664
2020-02-29 05:20:00,232.51,232.51,232.34,232.46,8.81040365
2020-02-29 05:19:00,232.23,232.58,232.23,232.51,219.55915094
2020-02-29 05:18:00,232.54,232.54,232.22,232.25,51.44797991
2020-02-29 05:17:00,233.1,233.1,232.55,232.78,200.65347438
2020-02-29 05:16:00,233.18,233.25,233.08,233.17,25.50277291
2020-02-29 05:15:00,233.28,233.32,233.11,233.21,113.36701785
2020-02-29 05:14:00,233.19,233.29,233.17,233.29,16.03277346
2020-02-29 05:13:00,233.13,233.32,233.13,233.18,4.120058
2020-02-29 05:12:00,233.32,233.32,233.01,233.01,81.98616646
2020-02-29 05:11:00,232.7,233.26,232.7,233.2,252.61028376
2020-02-29 05:10:00,232.95,232.95,232.56,232.56,5.41524798
2020-02-29 05:09:00,232.93,233,232.93,233,2.25505919
2020-02-29 05:08:00,232.82,232.91,232.67,232.89,13.89507854
2020-02-29 05:07:00,232.56,232.9,232.56,232.81,216.84611646
2020-02-29 05:06:00,232.25,232.56,232.25,232.56,14.81641699
2020-02-29 05:05:00,232.3,232.56,232.27,232.27,45.58331428
2020-02-29 05:04:00,232.03,232.3,232.02,232.3,7.56553091
2020-02-29 05:03:00,232.1,232.1,231.82,231.9,20.56493873
2020-02-29 05:02:00,231.78,232.26,231.78,232.26,5.27506028
2020-02-29 05:01:00,232,232,231.72,231.77,3.39734931
2020-02-29 05:00:00,232.01,232.16,232,232,27.80489761
2020-02-29 04:59:00,232.18,232.27,232.09,232.09,8.25843139
2020-02-29 04:58:00,232.02,232.51,232.02,232.13,58.49081709
